candidate_id,rank,score,reasoning
CAND_0018499,1,0.979600,"Senior Machine Learning Engineer with 7.2 yrs experience at Zomato; relevant skills: Pinecone, Weaviate, Milvus; Noida, Uttar Pradesh. Platform signals are strong: immediate availability; GitHub score 95."
CAND_0071974,2,0.945825,"Senior AI Engineer with 7.8 yrs experience at Netflix; relevant skills: Pinecone, Weaviate, Qdrant; Vizag, Andhra Pradesh. Platform signals are strong: high response rate (76%); GitHub score 83."
CAND_0079387,3,0.923217,"AI Engineer with 6.9 yrs experience at Microsoft; relevant skills: OpenSearch, Recommendation Systems, Learning to Rank; Trivandrum, Kerala. Platform signals are strong: high response rate (81%); GitHub score 64."
CAND_0086022,4,0.921060,"Senior Applied Scientist with 5.3 yrs experience at Sarvam AI; relevant skills: Pinecone, Elasticsearch, Recommendation Systems; Kolkata, West Bengal. Platform signals are strong: immediate availability; GitHub score 75."
CAND_0077337,5,0.920285,"Staff Machine Learning Engineer with 7 yrs experience at Paytm; relevant skills: Pinecone, Qdrant, OpenSearch; Kochi, Kerala. Platform signals are strong: active 21d ago; high response rate (95%)."
CAND_0002025,6,0.917645,"Senior AI Engineer with 5.9 yrs experience at Apple; relevant skills: Pinecone, Weaviate, FAISS; Trivandrum, Kerala. Platform signals are strong: active 21d ago; high response rate (80%)."
CAND_0008425,7,0.916465,"Senior NLP Engineer with 7.8 yrs experience at Ola; relevant skills: Qdrant, Semantic Search, Information Retrieval; Kolkata, West Bengal. Career history shows strong applied AI/ML experience."
CAND_0029367,8,0.898610,"Senior Data Scientist with 5.7 yrs experience at Rephrase.ai; relevant skills: Pinecone, FAISS, Recommendation Systems; Bangalore, Karnataka. Platform signals are strong: active 27d ago; high response rate (77%)."
CAND_0030031,9,0.895812,"AI Engineer with 5.7 yrs experience at Microsoft; relevant skills: Milvus, Information Retrieval, Vector Search; Trivandrum, Kerala. Platform signals are strong: active 25d ago; high response rate (94%)."
CAND_0005649,10,0.895460,"Senior Data Scientist with 7.4 yrs experience at Sarvam AI; relevant skills: Weaviate, Semantic Search, Information Retrieval; Delhi, Delhi. Platform signals are strong: GitHub score 81."
CAND_0062247,11,0.889280,"AI Engineer with 7.3 yrs experience at Google; relevant skills: Pinecone, Qdrant, Information Retrieval; Kochi, Kerala. Platform signals are strong: high response rate (78%)."
CAND_0081846,12,0.886730,"Lead Ai Engineer with 6.7 yrs experience at Razorpay; relevant skills: Qdrant, Elasticsearch, Semantic Search; Jaipur, Rajasthan. Career history shows strong applied AI/ML experience."
CAND_0041669,13,0.885685,"Recommendation Systems Engineer with 8 yrs experience at CRED; relevant skills: Weaviate, FAISS, Milvus; Noida, Uttar Pradesh. Platform signals are strong: high response rate (77%); GitHub score 71."
CAND_0027691,14,0.880835,"NLP Engineer with 6.5 yrs experience at Haptik; relevant skills: Weaviate, Semantic Search, Recommendation Systems; Pune, Maharashtra. Platform signals are strong: immediate availability."
CAND_0033861,15,0.879235,"Senior NLP Engineer with 8 yrs experience at Mad Street Den; relevant skills: Pinecone, Weaviate, Milvus; Vizag, Andhra Pradesh. Career history shows strong applied AI/ML experience."
CAND_0070398,16,0.869380,"Machine Learning Engineer with 7.2 yrs experience at Genpact AI; relevant skills: FAISS, Information Retrieval, Recommendation Systems; Kochi, Kerala. Platform signals are strong: GitHub score 63."
CAND_0076904,17,0.866375,"Senior Data Scientist with 4.2 yrs experience at Nykaa; relevant skills: Weaviate, OpenSearch, Information Retrieval; London, UK. Career history shows strong applied AI/ML experience."
CAND_0044855,18,0.864050,"Senior Data Scientist with 6.6 yrs experience at Flipkart; relevant skills: Pinecone, Qdrant, OpenSearch; Coimbatore, Tamil Nadu. Career history shows strong applied AI/ML experience."
CAND_0041568,19,0.861055,"Search Engineer with 5.2 yrs experience at Haptik; relevant skills: Pinecone, Weaviate, Qdrant; Sydney, Australia. Career history shows strong applied AI/ML experience."
CAND_0093547,20,0.860365,"Senior Machine Learning Engineer with 2.9 yrs experience at PhonePe; relevant skills: Weaviate, FAISS, Milvus; Coimbatore, Tamil Nadu. Platform signals are strong: high response rate (75%)."
CAND_0083307,21,0.855568,"Search Engineer with 7.8 yrs experience at CRED; relevant skills: Pinecone, Weaviate, Semantic Search; Vizag, Andhra Pradesh. Platform signals are strong: GitHub score 69."
CAND_0036184,22,0.853623,"Recommendation Systems Engineer with 6 yrs experience at CRED; relevant skills: Pinecone, FAISS, Semantic Search; Trivandrum, Kerala. Platform signals are strong: active 21d ago; high response rate (90%)."
CAND_0099806,23,0.848325,"AI Engineer with 4.6 yrs experience at Mad Street Den; relevant skills: Weaviate, FAISS, Qdrant; Bhubaneswar, Odisha. Platform signals are strong: high response rate (76%); GitHub score 87."
CAND_0011162,24,0.845803,"Recommendation Systems Engineer with 5.8 yrs experience at upGrad; relevant skills: Pinecone, Weaviate, FAISS; Coimbatore, Tamil Nadu. Platform signals are strong: high response rate (75%)."
CAND_0019159,25,0.845750,"ML Engineer with 6.1 yrs experience at Genpact AI; relevant skills: Milvus, Qdrant, Information Retrieval; Seattle (open to relocate). Platform signals are strong: high response rate (75%)."
CAND_0049538,26,0.845682,"Applied Ml Engineer with 5.8 yrs experience at Saarthi.ai; relevant skills: Milvus, OpenSearch, Elasticsearch; Jaipur, Rajasthan. Platform signals are strong: active 20d ago; GitHub score 91."
CAND_0064326,27,0.845550,"Search Engineer with 7.6 yrs experience at Sarvam AI; relevant skills: Weaviate, Milvus, Semantic Search; Gurgaon, Haryana. Platform signals are strong: active 26d ago; high response rate (94%)."
CAND_0074225,28,0.838100,"Machine Learning Engineer with 4.3 yrs experience at Unacademy; relevant skills: Milvus, Qdrant, Elasticsearch; Vizag, Andhra Pradesh. Platform signals are strong: active 27d ago; high response rate (91%)."
CAND_0042100,29,0.837015,"Machine Learning Engineer with 7.3 yrs experience at Freshworks; relevant skills: Pinecone, Elasticsearch, Semantic Search; Singapore (open to relocate). Platform signals are strong: high response rate (87%)."
CAND_0020877,30,0.833375,"Applied Ml Engineer with 5.1 yrs experience at CRED; relevant skills: Weaviate, Milvus, Qdrant; Gurgaon, Haryana. Platform signals are strong: GitHub score 74."
CAND_0052328,31,0.831108,"Recommendation Systems Engineer with 6.5 yrs experience at Amazon; relevant skills: OpenSearch, Recommendation Systems, Learning to Rank; Pune, Maharashtra. Platform signals are strong: high response rate (79%); GitHub score 78."
CAND_0042506,32,0.825190,"Search Engineer with 4.2 yrs experience at Verloop.io; relevant skills: FAISS, Milvus, Qdrant; Mumbai, Maharashtra. Platform signals are strong: active 25d ago; immediate availability."
CAND_0066376,33,0.822965,"Applied Ml Engineer with 5.7 yrs experience at Dream11; relevant skills: FAISS, Semantic Search, Information Retrieval; Mumbai, Maharashtra. Career history shows strong applied AI/ML experience."
CAND_0009691,34,0.822232,"Applied Ml Engineer with 6.2 yrs experience at LinkedIn; relevant skills: Pinecone, FAISS, Qdrant; Indore, Madhya Pradesh. Platform signals are strong: GitHub score 68."
CAND_0039838,35,0.817608,"Recommendation Systems Engineer with 4.9 yrs experience at Amazon; relevant skills: Milvus, OpenSearch, Semantic Search; Kochi, Kerala. Platform signals are strong: high response rate (80%)."
CAND_0077285,36,0.817348,"Recommendation Systems Engineer with 5.5 yrs experience at Nykaa; relevant skills: Pinecone, FAISS, Milvus; Ahmedabad, Gujarat. Platform signals are strong: GitHub score 76."
CAND_0065878,37,0.815745,"Senior Data Scientist with 7.8 yrs experience at Niramai; relevant skills: Recommendation Systems, Vector Search, RAG; Trivandrum, Kerala. Platform signals are strong: immediate availability."
CAND_0005260,38,0.813952,"Senior NLP Engineer with 5.2 yrs experience at Netflix; relevant skills: Semantic Search, Information Retrieval, Embeddings; Chennai, Tamil Nadu. Platform signals are strong: high response rate (86%)."
CAND_0075574,39,0.811987,"Machine Learning Engineer with 5.7 yrs experience at Haptik; relevant skills: Weaviate, Qdrant, OpenSearch; Bangalore, Karnataka. Platform signals are strong: active 30d ago."
CAND_0037980,40,0.811838,"Senior Applied Scientist with 9 yrs experience at Niramai; relevant skills: Information Retrieval Systems, Recommendation Systems, LoRA; Kolkata, West Bengal. Platform signals are strong: immediate availability."
CAND_0007460,41,0.811515,"AI Engineer with 4.7 yrs experience at Salesforce; relevant skills: Weaviate, Semantic Search, Information Retrieval; Pune, Maharashtra. Platform signals are strong: active 26d ago."
CAND_0055992,42,0.810595,"AI Engineer with 16.9 yrs experience at CRED; relevant skills: FAISS, Milvus, OpenSearch; Sydney (open to relocate). Platform signals are strong: GitHub score 65."
CAND_0030827,43,0.808245,"Senior Data Scientist with 5.4 yrs experience at Freshworks; relevant skills: FAISS, Qdrant, Semantic Search; Singapore, Singapore. Career history shows strong applied AI/ML experience."
CAND_0051630,44,0.808240,"Machine Learning Engineer with 6 yrs experience at Razorpay; relevant skills: OpenSearch, Elasticsearch, Information Retrieval; Kolkata, West Bengal. Platform signals are strong: GitHub score 66."
CAND_0032216,45,0.807962,"ML Engineer with 6.1 yrs experience at upGrad; relevant skills: Qdrant, Information Retrieval, Learning to Rank; Chennai, Tamil Nadu. Career history shows strong applied AI/ML experience."
CAND_0024620,46,0.804243,"AI Engineer with 5.9 yrs experience at PharmEasy; relevant skills: Elasticsearch, Semantic Search, Information Retrieval; New York (open to relocate). Career history shows strong applied AI/ML experience."
CAND_0046064,47,0.801600,"Senior NLP Engineer with 8.9 yrs experience at Salesforce; relevant skills: Pinecone, OpenSearch, Elasticsearch; Coimbatore, Tamil Nadu. Platform signals are strong: high response rate (78%); GitHub score 67."
CAND_0074735,48,0.801343,"Applied Ml Engineer with 5.5 yrs experience at Rephrase.ai; relevant skills: Weaviate, Elasticsearch, Semantic Search; Chandigarh, Chandigarh. Platform signals are strong: high response rate (77%); GitHub score 88."
CAND_0084819,49,0.801190,"Search Engineer with 4.5 yrs experience at Dream11; relevant skills: Weaviate, OpenSearch, Semantic Search; Indore, Madhya Pradesh. Career history shows strong applied AI/ML experience."
CAND_0095619,50,0.801018,"NLP Engineer with 15.6 yrs experience at Nykaa; relevant skills: Pinecone, Weaviate, Elasticsearch; Mumbai, Maharashtra. Platform signals are strong: high response rate (90%)."
CAND_0008239,51,0.798808,"AI Engineer with 4 yrs experience at Apple; relevant skills: Weaviate, FAISS, Milvus; Jaipur, Rajasthan. Platform signals are strong: immediate availability."
CAND_0051003,52,0.798790,"Senior Software Engineer (Ml) with 4 yrs experience at Genpact AI; relevant skills: Semantic Search, Information Retrieval, Learning to Rank; London (open to relocate). Platform signals are strong: GitHub score 61."
CAND_0013536,53,0.798177,"Applied Ml Engineer with 14.1 yrs experience at Haptik; relevant skills: Pinecone, FAISS, Milvus; Trivandrum, Kerala. Platform signals are strong: high response rate (87%)."
CAND_0025640,54,0.793910,"Ai Research Engineer with 5.6 yrs experience at HCL; relevant skills: FAISS, OpenSearch, Elasticsearch; Jaipur, Rajasthan. Platform signals are strong: high response rate (87%)."
CAND_0088025,55,0.792608,"Staff Machine Learning Engineer with 8.6 yrs experience at Yellow.ai; relevant skills: Pinecone, Elasticsearch, Learning to Rank; Jaipur, Rajasthan. Platform signals are strong: high response rate (83%); GitHub score 75."
CAND_0007411,56,0.792433,"Senior Machine Learning Engineer with 8 yrs experience at Amazon; relevant skills: Pinecone, OpenSearch, Information Retrieval; Kochi, Kerala. Platform signals are strong: immediate availability; GitHub score 90."
CAND_0094759,57,0.790563,"Lead Ai Engineer with 8.6 yrs experience at Meta; relevant skills: Weaviate, FAISS, Qdrant; Mumbai, Maharashtra. Platform signals are strong: GitHub score 76."
CAND_0026532,58,0.784740,"Recommendation Systems Engineer with 4.8 yrs experience at Zomato; relevant skills: Pinecone, FAISS, Milvus; Chennai, Tamil Nadu. Career history shows strong applied AI/ML experience."
CAND_0006557,59,0.784475,"NLP Engineer with 7.9 yrs experience at Paytm; relevant skills: Pinecone, Weaviate, FAISS; Jaipur, Rajasthan. Career history shows strong applied AI/ML experience."
CAND_0039383,60,0.783532,"Applied Ml Engineer with 7.1 yrs experience at Meesho; relevant skills: FAISS, Elasticsearch, Recommendation Systems; Gurgaon, Haryana. Platform signals are strong: GitHub score 86."
CAND_0047721,61,0.783163,"Senior Data Scientist with 7 yrs experience at Microsoft; relevant skills: FAISS, Milvus, Qdrant; Coimbatore, Tamil Nadu. Platform signals are strong: GitHub score 90."
CAND_0034164,62,0.782063,"Data Scientist with 3.6 yrs experience at Haptik; relevant skills: Pinecone, Weaviate, Elasticsearch; Hyderabad, Telangana. Platform signals are strong: active 24d ago; high response rate (84%)."
CAND_0080766,63,0.779960,"Staff Machine Learning Engineer with 8.8 yrs experience at Salesforce; relevant skills: Milvus, OpenSearch, Elasticsearch; Coimbatore, Tamil Nadu. Platform signals are strong: immediate availability."
CAND_0093912,64,0.776820,"Senior Data Scientist with 5.3 yrs experience at Razorpay; relevant skills: Milvus, Elasticsearch, Recommendation Systems; Chandigarh, Chandigarh. Platform signals are strong: GitHub score 82."
CAND_0079064,65,0.771018,"Senior Data Scientist with 5.2 yrs experience at Niramai; relevant skills: Pinecone, OpenSearch, Semantic Search; Noida, Uttar Pradesh. Platform signals are strong: high response rate (91%)."
CAND_0039521,66,0.770478,"Search Engineer with 3 yrs experience at Salesforce; relevant skills: Weaviate, Qdrant, Semantic Search; Coimbatore, Tamil Nadu. Career history shows strong applied AI/ML experience."
CAND_0030784,67,0.766803,"Data Scientist with 4.4 yrs experience at Yellow.ai; relevant skills: Pinecone, Semantic Search, Learning to Rank; Delhi, Delhi. Platform signals are strong: active 23d ago; high response rate (90%)."
CAND_0009024,68,0.765700,"Search Engineer with 5.2 yrs experience at Google; relevant skills: FAISS, Qdrant, OpenSearch; Chennai, Tamil Nadu. Career history shows strong applied AI/ML experience."
CAND_0098780,69,0.764073,"Ai Research Engineer with 5.9 yrs experience at Zomato; relevant skills: Pinecone, Weaviate, Milvus; Bangalore, Karnataka. Career history shows strong applied AI/ML experience."
CAND_0007009,70,0.763582,"Recommendation Systems Engineer with 7.9 yrs experience at Wysa; relevant skills: Weaviate, OpenSearch, Learning to Rank; Noida, Uttar Pradesh. Platform signals are strong: GitHub score 69."
CAND_0095528,71,0.762235,"Senior Data Scientist with 5.3 yrs experience at Netflix; relevant skills: Qdrant, OpenSearch, Elasticsearch; Indore, Madhya Pradesh. Career history shows strong applied AI/ML experience."
CAND_0060072,72,0.762122,"Staff Machine Learning Engineer with 5.7 yrs experience at Amazon; relevant skills: Pinecone, Milvus, Qdrant; Indore, Madhya Pradesh. Platform signals are strong: GitHub score 82."
CAND_0068811,73,0.761632,"Applied Ml Engineer with 8 yrs experience at Freshworks; relevant skills: Pinecone, Weaviate, Qdrant; Pune, Maharashtra. Platform signals are strong: active 26d ago."
CAND_0051004,74,0.760500,"Senior Data Scientist with 4.7 yrs experience at CRED; relevant skills: Qdrant, Semantic Search, Vector Search; Delhi, Delhi. Platform signals are strong: immediate availability."
CAND_0096823,75,0.760460,"Data Scientist with 4.4 yrs experience at Glance; relevant skills: Pinecone, Weaviate, Milvus; Jaipur, Rajasthan. Career history shows strong applied AI/ML experience."
CAND_0050876,76,0.758273,"Applied Ml Engineer with 6 yrs experience at Freshworks; relevant skills: FAISS, Qdrant, OpenSearch; Kolkata, West Bengal. Platform signals are strong: active 21d ago; GitHub score 86."
CAND_0039754,77,0.754410,"Senior Applied Scientist with 16.2 yrs experience at Meta; relevant skills: Weaviate, Qdrant, OpenSearch; Indore, Madhya Pradesh. Platform signals are strong: high response rate (81%); GitHub score 78."
CAND_0054100,78,0.752700,"Junior Ml Engineer with 6 yrs experience at Zoho; relevant skills: Pinecone, Weaviate, Semantic Search; Kolkata, West Bengal. Platform signals are strong: active 22d ago; high response rate (79%)."
CAND_0047068,79,0.751880,"Civil Engineer with 9.5 yrs experience at Globex Inc; relevant skills: FAISS, Semantic Search, Information Retrieval; Noida, Uttar Pradesh. Career history shows strong applied AI/ML experience."
CAND_0024147,80,0.751552,"ML Engineer with 5.9 yrs experience at Ola; relevant skills: Qdrant, OpenSearch, Recommendation Systems; Jaipur, Rajasthan. Platform signals are strong: high response rate (84%); GitHub score 70."
CAND_0001610,81,0.751317,"Machine Learning Engineer with 3 yrs experience at Dream11; relevant skills: Pinecone, FAISS, Milvus; Trivandrum, Kerala. Career history shows strong applied AI/ML experience."
CAND_0061265,82,0.751065,"Recommendation Systems Engineer with 6.6 yrs experience at Zoho; relevant skills: Milvus, Qdrant, Learning to Rank; Delhi, Delhi. Platform signals are strong: high response rate (94%); GitHub score 80."
CAND_0088874,83,0.749060,"9.7 yrs total; currently Mechanical Engineer at TCS (San Francisco, USA); relevant skills include Pinecone, FAISS, Semantic Search. Minor concern: last active 124d ago; based in USA."
CAND_0078492,84,0.748838,"5.1 yrs total; currently Recommendation Systems Engineer at Verloop.io (Kochi, Kerala); relevant skills include FAISS, Qdrant, Elasticsearch. Solid fit for the core requirements."
CAND_0096801,85,0.748208,"4.2 yrs total; currently Ai Research Engineer at CRED (Kolkata, West Bengal); relevant skills include Weaviate, FAISS, Milvus. Solid fit for the core requirements."
CAND_0055905,86,0.747515,"8.1 yrs total; currently Senior Machine Learning Engineer at Flipkart (London, UK); relevant skills include OpenSearch, Elasticsearch, Information Retrieval. Behavioral signals: active 30d ago; high response rate (87%)."
CAND_0082407,87,0.746300,"14.7 yrs total; currently Civil Engineer at Wayne Enterprises (Indore, Madhya Pradesh); relevant skills include Pinecone, Information Retrieval, Recommendation Systems. Minor concern: low response rate (13%)."
CAND_0095879,88,0.743975,"5.6 yrs total; currently Mechanical Engineer at Dunder Mifflin (Austin, USA); relevant skills include Pinecone, FAISS, Information Retrieval. Minor concern: last active 96d ago; based in USA."
CAND_0033445,89,0.743885,"6.8 yrs total; currently ML Engineer at Vedantu (Ahmedabad, Gujarat); relevant skills include Semantic Search, Information Retrieval, Recommendation Systems. Behavioral signals: active 21d ago; high response rate (94%)."
CAND_0092245,90,0.743443,"4.1 yrs total; currently Senior Data Scientist at Ola (Coimbatore, Tamil Nadu); relevant skills include FAISS, Qdrant, Elasticsearch. Solid fit for the core requirements."
CAND_0044222,91,0.742838,"7.7 yrs total; currently AI Engineer at PolicyBazaar (Vizag, Andhra Pradesh); relevant skills include Weaviate, Qdrant, OpenSearch. Solid fit for the core requirements."
CAND_0064904,92,0.742825,"4.9 yrs total; currently AI Engineer at LinkedIn (Hyderabad, Telangana); relevant skills include Weaviate, OpenSearch, Elasticsearch. Behavioral signals: high response rate (78%)."
CAND_0017443,93,0.742480,"11.7 yrs total; currently Mechanical Engineer at TCS (Indore, Madhya Pradesh); relevant skills include Pinecone, FAISS, Semantic Search. Minor concern: partially aligned career history."
CAND_0068512,94,0.742345,"12.6 yrs total; currently Civil Engineer at TCS (Austin (open to relocate)); relevant skills include FAISS, Semantic Search, Information Retrieval. Solid fit for the core requirements."
CAND_0047675,95,0.742079,"11.7 yrs total; currently Mechanical Engineer at Wipro (Chandigarh, Chandigarh); relevant skills include Semantic Search, Information Retrieval, Recommendation Systems. Minor concern: last active 101d ago; partially aligned career history."
CAND_0032092,96,0.740470,"14.9 yrs total; currently Civil Engineer at Acme Corp (Bangalore, Karnataka); relevant skills include Pinecone, FAISS, Semantic Search. Minor concern: last active 169d ago."
CAND_0033991,97,0.739190,"7.5 yrs total; currently Mechanical Engineer at Wayne Enterprises (Chennai, Tamil Nadu); relevant skills include FAISS, Semantic Search, Information Retrieval. Behavioral signals: high response rate (76%)."
CAND_0030468,98,0.739023,"5.4 yrs total; currently Senior Applied Scientist at Swiggy (Indore, Madhya Pradesh); relevant skills include Milvus, OpenSearch, Information Retrieval Systems. Behavioral signals: high response rate (78%)."
CAND_0030754,99,0.738440,"4.3 yrs total; currently Mechanical Engineer at Initech (Sydney, Australia); relevant skills include Pinecone, FAISS, Semantic Search. Behavioral signals: active 26d ago."
CAND_0016659,100,0.737050,"4.4 yrs total; currently ML Engineer at Glance (Coimbatore, Tamil Nadu); relevant skills include Pinecone, Weaviate, FAISS. Behavioral signals: active 25d ago; high response rate (89%)."
